iter	Passed	Remaining
434	1488	1933
435	1491	1929
436	1495	1926
437	1498	1922
438	1501	1919
439	1504	1914
440	1507	1911
441	1510	1907
442	1513	1903
443	1517	1899
444	1520	1895
445	1523	1892
446	1526	1888
447	1529	1884
448	1534	1882
449	1537	1878
450	1540	1874
451	1543	1870
452	1546	1867
453	1548	1862
454	1552	1859
455	1555	1855
456	1558	1852
457	1562	1848
458	1565	1844
459	1568	1840
460	1570	1836
461	1573	1832
462	1576	1828
463	1579	1824
464	1582	1821
465	1586	1817
466	1589	1813
467	1592	1809
468	1595	1805
469	1598	1802
470	1601	1798
471	1604	1794
472	1608	1792
473	1611	1788
474	1614	1784
475	1617	1781
476	1621	1777
477	1624	1774
478	1628	1770
479	1631	1767
480	1636	1765
481	1640	1762
482	1643	1758
483	1646	1754
484	1648	1750
485	1651	1746
486	1654	1743
487	1657	1739
488	1660	1735
489	1665	1733
490	1668	1729
491	1671	1725
492	1674	1722
493	1677	1718
494	1680	1714
495	1683	1710
496	1686	1706
497	1689	1702
498	1693	1699
499	1696	1696
500	1699	1692
501	1702	1689
502	1705	1685
503	1708	1681
504	1711	1677
505	1715	1674
506	1718	1671
507	1721	1667
508	1725	1664
509	1728	1660
510	1731	1656
511	1734	1652
512	1736	1648
513	1739	1644
514	1742	1641
515	1746	1638
516	1750	1634
517	1752	1631
518	1755	1627
519	1759	1624
520	1762	1620
521	1765	1616
522	1768	1612
523	1771	1608
524	1774	1605
525	1777	1602
526	1781	1598
527	1784	1595
528	1787	1591
529	1790	1587
530	1793	1584
531	1796	1580
532	1799	1576
533	1802	1573
534	1805	1569
535	1808	1565
536	1811	1562
537	1815	1558
538	1818	1554
539	1821	1551
540	1824	1547
541	1827	1544
542	1830	1541
543	1833	1537
544	1836	1533
545	1839	1529
546	1842	1526
547	1845	1522
548	1849	1519
549	1852	1515
550	1855	1511
551	1858	1508
552	1861	1504
553	1864	1500
554	1867	1497
555	1870	1493
556	1873	1489
557	1876	1486
558	1879	1482
559	1882	1479
560	1885	1475
561	1889	1472
562	1892	1468
563	1895	1465
564	1898	1461
565	1900	1457
566	1904	1454
567	1907	1450
568	1910	1446
569	1913	1443
570	1917	1440
571	1920	1437
572	1924	1433
573	1927	1430
574	1930	1426
575	1933	1423
576	1937	1420
577	1940	1417
578	1944	1413
579	1948	1411
580	1952	1407
581	1955	1404
582	1960	1402
583	1963	1398
584	1966	1395
585	1970	1392
586	1973	1388
587	1976	1385
588	1980	1382
589	1984	1378
590	1987	1375
591	1990	1371
592	1993	1368
593	1996	1364
594	2000	1361
595	2003	1357
596	2006	1354
597	2009	1351
598	2013	1348
599	2016	1344
600	2019	1340
601	2023	1338
602	2027	1334
603	2030	1331
604	2034	1328
605	2036	1324
606	2039	1320
607	2043	1317
608	2046	1313
609	2049	1310
610	2052	1307
611	2056	1303
612	2059	1300
613	2062	1296
614	2066	1293
615	2069	1289
616	2072	1286
617	2075	1282
618	2078	1279
619	2082	1276
620	2085	1272
621	2089	1269
622	2092	1266
623	2095	1262
624	2098	1258
625	2101	1255
626	2103	1251
627	2106	1248
628	2109	1244
629	2113	1240
630	2116	1237
631	2120	1234
632	2123	1230
633	2125	1227
634	2128	1223
635	2131	1220
636	2134	1216
637	2137	1212
638	2140	1209
639	2143	1205
640	2146	1202
641	2150	1199
642	2154	1195
643	2157	1192
644	2159	1188
645	2162	1185
646	2165	1181
647	2168	1177
648	2171	1174
649	2174	1170
650	2177	1167
651	2180	1163
652	2183	1160
653	2187	1157
654	2190	1153
655	2193	1150
656	2196	1146
657	2199	1143
658	2202	1139
659	2205	1136
660	2208	1132
661	2211	1129
662	2214	1125
663	2217	1122
664	2220	1118
665	2223	1115
666	2226	1111
667	2229	1107
668	2232	1104
669	2234	1100
670	2238	1097
671	2240	1093
672	2243	1090
673	2246	1086
674	2249	1082
675	2252	1079
676	2256	1076
677	2259	1072
678	2261	1069
679	2265	1065
680	2267	1062
681	2270	1058
682	2273	1055
683	2276	1051
684	2279	1048
685	2282	1044
686	2286	1041
687	2289	1038
688	2292	1034
689	2295	1031
690	2299	1028
691	2302	1024
692	2304	1021
693	2308	1017
694	2311	1014
695	2315	1011
696	2319	1008
697	2324	1005
698	2328	1002
699	2332	999
700	2336	996
701	2339	993
702	2343	990
703	2347	987
704	2350	983
